变量,站号1,站号2
记录触发位,@B_HDX0.0,@B_HDX10.0
步骤1,@B_HDX0.1,@B_HDX10.1
步骤2,@B_HDX0.2,@B_HDX10.2
步骤3,@B_HDX0.3,@B_HDX10.3
步骤4,@B_HDX0.4,@B_HDX10.4
正确计数,@W_HDW0001,@W_HDW0011
错误计数,@W_HDW0002,@W_HDW0012
测试计数,@W_HDW0003,@W_HDW0013
计时器,@W_HDW0004,@W_HDW0014
开启站号,@B_HDX9.0,@B_HDX19.0
本机存本机时间.年,@W_HDW1000,@W_HDW1100
本机存本机时间.月,@W_HDW1001,@W_HDW1101
本机存本机时间.日,@W_HDW1002,@W_HDW1102
本机存本机时间.时,@W_HDW1003,@W_HDW1103
本机存本机时间.分,@W_HDW1004,@W_HDW1104
本机存本机时间.秒,@W_HDW1005,@W_HDW1105
本机存从机时间.年,@W_HDW1006,@W_HDW1106
本机存从机时间.月,@W_HDW1007,@W_HDW1107
本机存从机时间.日,@W_HDW1008,@W_HDW1108
本机存从机时间.时,@W_HDW1009,@W_HDW1109
本机存从机时间.分,@W_HDW1010,@W_HDW1110
本机存从机时间.秒,@W_HDW1011,@W_HDW1111
从机读取时间.年,@W_1:400,@W_2:400
从机读取时间.月,@W_1:401,@W_2:401
从机读取时间.日,@W_1:402,@W_2:402
从机读取时间.时,@W_1:403,@W_2:403
从机读取时间.分,@W_1:404,@W_2:404
从机读取时间.秒,@W_1:405,@W_2:405
从机写入时间.年,@W_1:410,@W_2:410
从机写入时间.月,@W_1:411,@W_2:411
从机写入时间.日,@W_1:412,@W_2:412
从机写入时间.时,@W_1:413,@W_2:413
从机写入时间.分,@W_1:414,@W_2:414
从机写入时间.秒,@W_1:415,@W_2:415
从机写入时间位,@B_1:010000,@B_2:010000
PLC电源控制位,@B_2#Y0,@B_2#Y1
